Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
JSE:PRX,"Prosus N.V. (JSE:PRX)",https://www.listcorp.com/jse/prx/prosus-nv,"	2287790000000",984.09,22.41,2.33,Technology
JSE:BHG,"BHP Group Limited (JSE:BHG)",https://www.listcorp.com/jse/bhg/bhp-group-limited,"	2238510000000",444.96,3.97,0.9,"Basic Materials"
JSE:ANH,"Anheuser-Busch Inbev (JSE:ANH)",https://www.listcorp.com/jse/anh/anheuser-busch-inbev,"	2201800000000",1227.99,2.82,0.23,"Consumer Goods"
JSE:BTI,"British American Tobacco (JSE:BTI)",https://www.listcorp.com/jse/bti/british-american-tobacco,"	1987650000000",858.82,10.44,1.23,"Consumer Goods"
JSE:CFR,"Compagnie Fin Richemont (JSE:CFR)",https://www.listcorp.com/jse/cfr/compagnie-fin-richemont,"	1783080000000",3329,12.27,0.37,"Consumer Goods"
JSE:GLN,"Glencore plc (JSE:GLN)",https://www.listcorp.com/jse/gln/glencore-plc,"	964367000000",72.35,-0.57,-0.78,"Basic Materials"
JSE:NPN,"Naspers Limited - N (JSE:NPN)",https://www.listcorp.com/jse/npn/naspers-limited-n,"	881232000000",5446.3,86.82,1.62,Technology
JSE:AGL,"Anglo American plc (JSE:AGL)",https://www.listcorp.com/jse/agl/anglo-american-plc,"	626228000000",532.67,1.12,0.21,"Basic Materials"
JSE:ANG,"Anglogold Ashanti (JSE:ANG)",https://www.listcorp.com/jse/ang/anglogold-ashanti,"	419908000000",824.43,-7.99,-0.96,"Basic Materials"
JSE:FSR,"Firstrand Limited (JSE:FSR)",https://www.listcorp.com/jse/fsr/firstrand-limited,"	419646000000",74.35,-0.46,-0.61,Financials
JSE:CPI,"Capitec Bank Holdings Limited (JSE:CPI)",https://www.listcorp.com/jse/cpi/capitec-bank-holdings-limited,"	415417000000",3574.8,-3.22,-0.09,Financials
JSE:GFI,"Gold Fields Limited (JSE:GFI)",https://www.listcorp.com/jse/gfi/gold-fields-limited,"	387134000000",427.91,-4.63,-1.07,"Basic Materials"
JSE:SBK,"Standard Bank Group (JSE:SBK)",https://www.listcorp.com/jse/sbk/standard-bank-group,"	372867000000",227.455,0.95,0.42,Financials
JSE:VOD,"Vodacom Group Limited (JSE:VOD)",https://www.listcorp.com/jse/vod/vodacom-group-limited,"	288425000000",137.88,-0.93,-0.67,Telecommunications
JSE:MTN,"MTN Group Limited (JSE:MTN)",https://www.listcorp.com/jse/mtn/mtn-group-limited,"	256660000000",140.68,0.71,0.51,Telecommunications
JSE:VAL,"Valterra Platinum Limited (JSE:VAL)",https://www.listcorp.com/jse/val/valterra-platinum-limited,"	225498000000",836.46,-13.51,-1.59,"Basic Materials"
JSE:SLM,"Sanlam Limited (JSE:SLM)",https://www.listcorp.com/jse/slm/sanlam-limited,"	188024000000",88.83,0.02,0.02,Financials
JSE:SHP,"Shoprite Holdings Limited (JSE:SHP)",https://www.listcorp.com/jse/shp/shoprite-holdings-limited,"	167337000000",281.35,-1.64,-0.58,"Consumer Services"
JSE:S32,"South32 Limited (JSE:S32)",https://www.listcorp.com/jse/s32/south32-limited,"	161631000000",35.55,-0.31,-0.86,"Basic Materials"
JSE:HAR,"Harmony Gold Mining Company (JSE:HAR)",https://www.listcorp.com/jse/har/harmony-gold-mining-company,"	161155000000",252.45,-1.42,-0.56,"Basic Materials"
JSE:ABG,"Absa Group Limited (JSE:ABG)",https://www.listcorp.com/jse/abg/absa-group-limited,"	160630000000",178.02,-1.58,-0.88,Financials
JSE:BID,"Bid Corporation Limited (JSE:BID)",https://www.listcorp.com/jse/bid/bidcorp,"	155313000000",457.81,-3.18,-0.69,"Consumer Services"
JSE:IMP,"Impala Platinum Holdings Limited (JSE:IMP)",https://www.listcorp.com/jse/imp/implats,"	154737000000",169.88,-1.21,-0.71,"Basic Materials"
JSE:DSY,"Discovery Limited (JSE:DSY)",https://www.listcorp.com/jse/dsy/discovery-limited,"	149836000000",219.32,-1.12,-0.51,Financials
JSE:MNP,"Mondi plc (JSE:MNP)",https://www.listcorp.com/jse/mnp/mondi-plc,"	127083000000",287.18,-0.72,-0.25,"Basic Materials"
JSE:OUT,"OUTsurance Holdings Limited (JSE:OUT)",https://www.listcorp.com/jse/out/outsurance-holdings-limited,"	121798000000",78.48,-0.24,-0.3,Financials
JSE:NED,"Nedbank Group Limited (JSE:NED)",https://www.listcorp.com/jse/ned/nedbank-group-limited,"	118317000000",242.47,-0.92,-0.38,Financials
JSE:RNI,"Reinet Investments S.C.A. (JSE:RNI)",https://www.listcorp.com/jse/rni/reinet-investments,"	104047000000",531.22,0.21,0.04,Financials
JSE:PPH,"Pepkor Holdings Limited (JSE:PPH)",https://www.listcorp.com/jse/pph/pepkor-holdings-limited,"	103966000000",27.87,-0.28,-0.99,"Consumer Services"
JSE:NHM,"Northam Platinum Limited (JSE:NHM)",https://www.listcorp.com/jse/nhm/northam-platinum-limited,"	101604000000",189.66,-9.65,-4.84,"Basic Materials"
JSE:SSW,"Sibanye Stillwater Limited (JSE:SSW)",https://www.listcorp.com/jse/ssw/sibanye-stillwater-limited,"	98900000000",34.35,-0.59,-1.69,"Basic Materials"
JSE:NRP,"Nepi Rockcastle plc (JSE:NRP)",https://www.listcorp.com/jse/nrp/nepi-rockcastle-plc,"	97308000000",137.39,0.79,0.58,Financials
JSE:KIO,"Kumba Iron Ore (JSE:KIO)",https://www.listcorp.com/jse/kio/kumba-iron-ore,"	96261800000",297.22,-1.64,-0.55,"Basic Materials"
JSE:INP,"Investec plc (JSE:INP)",https://www.listcorp.com/jse/inp/investec-plc,"	90532500000",129.98,-0.08,-0.06,Financials
JSE:REM,"Remgro Limited (JSE:REM)",https://www.listcorp.com/jse/rem/remgro-limited,"	89072500000",167.8,-0.50,-0.3,Financials
JSE:CLS,"Clicks Group Limited (JSE:CLS)",https://www.listcorp.com/jse/cls/clicks-group-limited,"	87717100000",367.59,-2.63,-0.71,"Consumer Services"
JSE:BVT,"Bidvest Group (JSE:BVT)",https://www.listcorp.com/jse/bvt/bidvest-group,"	81240500000",236.68,-2.08,-0.87,Industrials
JSE:NPH,"Northam Platinum Holdings Limited (JSE:NPH)",https://www.listcorp.com/jse/nph/northam-platinum-holdings-limited,"	79780500000",196.89,-2.51,-1.26,"Basic Materials"
JSE:MRP,"Mr Price Group (JSE:MRP)",https://www.listcorp.com/jse/mrp/mr-price-group,"	57588200000",217.61,-4.06,-1.83,"Consumer Services"
JSE:OMU,"Old Mutual Limited (JSE:OMU)",https://www.listcorp.com/jse/omu/old-mutual-limited,"	57261700000",12.18,0.03,0.25,Financials
JSE:SOL,"Sasol Limited (JSE:SOL)",https://www.listcorp.com/jse/sol/sasol-limited,"	56935100000",88.525,-0.02,-0.02,"Basic Materials"
JSE:EXX,"Exxaro Resources Limited (JSE:EXX)",https://www.listcorp.com/jse/exx/exxaro-resources-limited,"	54104100000",156.64,0.59,0.38,"Basic Materials"
JSE:TBS,"Tiger Brands Limited (JSE:TBS)",https://www.listcorp.com/jse/tbs/tiger-brands-limited,"	53817500000",304.97,-1.22,-0.4,"Consumer Goods"
JSE:APN,"Aspen Pharmacare Holdings Limited (JSE:APN)",https://www.listcorp.com/jse/apn/aspen-pharmacare-holdings,"	52907700000",118.265,-0.30,-0.25,"Health Care"
JSE:MCG,"MultiChoice Group (JSE:MCG)",https://www.listcorp.com/jse/mcg/multichoice-group,"	51924400000",117.3,-0.04,-0.03,"Consumer Services"
JSE:WHL,"Woolworths Holdings Limited (JSE:WHL)",https://www.listcorp.com/jse/whl/woolworths-holdings-limited,"	51768100000",51.68,-0.68,-1.3,"Consumer Services"
JSE:QLT,"Quilter plc (JSE:QLT)",https://www.listcorp.com/jse/qlt/quilter-plc,"	51699200000",37.3,0.48,1.3,Financials
JSE:SNT,"Santam Limited (JSE:SNT)",https://www.listcorp.com/jse/snt/santam-limited,"	49436300000",431.72,2.32,0.54,Financials
JSE:RMI,"Rand Merchant Investment Holdings (JSE:RMI)",https://www.listcorp.com/jse/rmi/rand-merchant-investment-holdings,"	47562600000",31.38,0.33,1.06,Financials
JSE:GRT,"Growthpoint Properties Limited (JSE:GRT)",https://www.listcorp.com/jse/grt/growthpoint-properties-limited,"	47276200000",14.03,0.25,1.81,Financials
JSE:MTM,"Momentum Metropolitan Holdings (JSE:MTM)",https://www.listcorp.com/jse/mtm/momentum-metropolitan-holdings,"	46336800000",34.34,0.32,0.94,Financials
JSE:TFG,"The Foschini Group (JSE:TFG)",https://www.listcorp.com/jse/tfg/the-foschini-group,"	45380500000",133.36,-3.73,-2.72,"Consumer Services"
JSE:ARI,"African Rainbow Minerals (JSE:ARI)",https://www.listcorp.com/jse/ari/african-rainbow-minerals,"	39660000000",176.4,-2.70,-1.51,"Basic Materials"
JSE:INL,"Investec Limited (JSE:INL)",https://www.listcorp.com/jse/inl/investec-limited,"	38567000000",131.235,0.55,0.42,Financials
JSE:HMN,"Hammerson plc (JSE:HMN)",https://www.listcorp.com/jse/hmn/hammerson-plc,"	34955300000",71.3,-0.20,-0.28,Financials
JSE:SRE,"Sirius Real Estate (JSE:SRE)",https://www.listcorp.com/jse/sre/sirius-real-estate,"	34697100000",22.94,0.01,0.04,Financials
JSE:RDF,"Redefine Properties Limited (JSE:RDF)",https://www.listcorp.com/jse/rdf/redefine-properties-limited,"	33708200000",4.72,0.04,0.85,Financials
JSE:AVI,"AVI Limited (JSE:AVI)",https://www.listcorp.com/jse/avi/avi-limited,"	33235700000",96.78,-0.93,-0.95,"Consumer Goods"
JSE:BOX,"Boxer Retail Limited (JSE:BOX)",https://www.listcorp.com/jse/box/boxer-retail-limited,"	32599400000",69.89,-1.38,-1.94,"Consumer Services"
JSE:TRU,"Truworths International Limited (JSE:TRU)",https://www.listcorp.com/jse/tru/truworths-international-limited,"	30184000000",72.09,-1.80,-2.44,"Consumer Services"
JSE:N91,"Ninety One plc (JSE:N91)",https://www.listcorp.com/jse/n91/ninety-one-plc,"	28178900000",45.62,0.79,1.76,Financials
JSE:DCP,"Dis-Chem Pharmacies Limited (JSE:DCP)",https://www.listcorp.com/jse/dcp/dis-chem-pharmacies-limited,"	27909700000",32.4,-0.05,-0.15,"Consumer Services"
JSE:KST,"PSG Konsult Limited (JSE:KST)",https://www.listcorp.com/jse/kst/psg-konsult-limited,"	27545000000",21.85,0.00,0,Financials
JSE:PAN,"Pan African Resources plc (JSE:PAN)",https://www.listcorp.com/jse/pan/pan-african-resources-plc,"	27537600000",11.85,0.06,0.51,"Basic Materials"
JSE:TKG,"Telkom SA Limited (JSE:TKG)",https://www.listcorp.com/jse/tkg/telkom-sa-limited,"	27514700000",53.82,-0.01,-0.02,Telecommunications
JSE:KRO,"Karooooo Ltd (JSE:KRO)",https://www.listcorp.com/jse/kro/karooooo-ltd,"	27186400000",860.5,-19.54,-2.22,Technology
JSE:WBC,"We Buy Cars Holdings Limited (JSE:WBC)",https://www.listcorp.com/jse/wbc/we-buy-cars-holdings-limited,"	24956100000",59.61,-0.14,-0.23,Technology
JSE:FFB,"Fortress REIT Limited - B (JSE:FFB)",https://www.listcorp.com/jse/ffb/fortress-reit-limited-b,"	24675900000",20.82,0.33,1.61,Financials
JSE:VKE,"Vukile Property Fund Limited (JSE:VKE)",https://www.listcorp.com/jse/vke/vukile-property-fund-limited,"	24631200000",19.77,-0.02,-0.1,Financials
JSE:SRI,"Supermarket Income REIT (JSE:SRI)",https://www.listcorp.com/jse/sri/supermarket-income-reit,"	23940300000",20.1,0.89,4.63,Financials
JSE:CCO,"Capital & Counties Properties plc (JSE:CCO)",https://www.listcorp.com/jse/cco/capital-and-counties-properties-plc,"	23617600000",28.85,1.10,3.96,Financials
JSE:RES,"Resilient REIT Limited (JSE:RES)",https://www.listcorp.com/jse/res/resilient-reit-limited,"	22982300000",63.59,0.66,1.05,Financials
JSE:BAW,"Barloworld Limited (JSE:BAW)",https://www.listcorp.com/jse/baw/barloworld-limited,"	21922600000",115.5,-0.10,-0.09,Industrials
JSE:SPP,"Spar Group Limited (JSE:SPP)",https://www.listcorp.com/jse/spp/spar-group-limited,"	21546400000",111.21,-0.66,-0.59,"Consumer Services"
JSE:DRD,"DRDGOLD Limited (JSE:DRD)",https://www.listcorp.com/jse/drd/drdgold-limited,"	21528300000",24.36,-0.54,-2.17,"Basic Materials"
JSE:LHC,"Life Healthcare Group (JSE:LHC)",https://www.listcorp.com/jse/lhc/life-healthcare-group,"	21173800000",14.28,-0.15,-1.04,"Health Care"
JSE:BYI,"Bytes Technology Group (JSE:BYI)",https://www.listcorp.com/jse/byi/bytes-technology-group,"	21031200000",87.29,0.09,0.1,Technology
JSE:PIK,"Pick n Pay Stores Limited (JSE:PIK)",https://www.listcorp.com/jse/pik/pick-n-pay-stores-limited,"	20483200000",27.595,0.13,0.46,"Consumer Services"
JSE:NTC,"Netcare Limited (JSE:NTC)",https://www.listcorp.com/jse/ntc/netcare-limited,"	18996000000",13.35,0.15,1.14,"Health Care"
JSE:ADH,"ADvTECH Limited (JSE:ADH)",https://www.listcorp.com/jse/adh/advtech-limited,"	18485600000",33.08,-0.26,-0.78,"Consumer Services"
JSE:PMR,"Premier Group Limited (JSE:PMR)",https://www.listcorp.com/jse/pmr/premier-group-limited,"	18304600000",144.46,2.46,1.73,"Consumer Goods"
JSE:MTH,"Motus Holdings Limited (JSE:MTH)",https://www.listcorp.com/jse/mth/motus-holdings-limited,"	17955300000",97.79,-2.26,-2.26,"Consumer Services"
JSE:SAP,"Sappi Limited (JSE:SAP)",https://www.listcorp.com/jse/sap/sappi-limited,"	17625300000",28.405,-0.75,-2.56,"Basic Materials"
JSE:HYP,"Hyprop Investments Limited (JSE:HYP)",https://www.listcorp.com/jse/hyp/hyprop-investments-limited,"	17486600000",44.28,0.50,1.14,Financials
JSE:GTC,"Globe Trade Centre S.A. (JSE:GTC)",https://www.listcorp.com/jse/gtc/globe-trade-centre-sa,"	17227700000",30,0.00,0,Financials
JSE:LTE,"Lighthouse Capital Limited (JSE:LTE)",https://www.listcorp.com/jse/lte/lighthouse-capital-limited,"	17067200000",8.18,0.01,0.12,Financials
JSE:MSP,"MAS Real Estate Inc (JSE:MSP)",https://www.listcorp.com/jse/msp/mas-real-estate-inc,"	16714800000",23.13,-0.21,-0.9,Financials
JSE:CML,"Coronation Fund Managers (JSE:CML)",https://www.listcorp.com/jse/cml/coronation-fund-managers,"	15370200000",39.92,0.22,0.55,Financials
JSE:DTC,"Datatec Limited (JSE:DTC)",https://www.listcorp.com/jse/dtc/datatec-limited,"	15037900000",63.86,0.19,0.3,Technology
JSE:APH,"Alphamin Resources Corporation (JSE:APH)",https://www.listcorp.com/jse/aph/alphamin-resources-corporation,"	14967100000",11.75,0.00,0,"Basic Materials"
JSE:ITE,"Italtile Limited (JSE:ITE)",https://www.listcorp.com/jse/ite/italtile-limited,"	13216500000",10,0.00,0,"Consumer Services"
JSE:OMN,"Omnia Holdings Limited (JSE:OMN)",https://www.listcorp.com/jse/omn/omnia-holdings-limited,"	12858800000",81.02,1.79,2.26,"Basic Materials"
JSE:EQU,"Equites Property Fund Limited (JSE:EQU)",https://www.listcorp.com/jse/equ/equites-property-fund-limited,"	12720300000",15.71,0.31,2.01,Financials
JSE:WBO,"Wilson Bayly Holmes-Ovcon Limited (JSE:WBO)",https://www.listcorp.com/jse/wbo/wilson-bayly-holmes-ovcon-limited,"	12712300000",180.08,1.07,0.6,Industrials
JSE:BLU,"Blue Label Telecoms (JSE:BLU)",https://www.listcorp.com/jse/blu/blue-label-telecoms,"	12672400000",13.89,0.02,0.14,Telecommunications
JSE:TGA,"Thungela Resources Limited (JSE:TGA)",https://www.listcorp.com/jse/tga/thungela-resources,"	12361900000",85.15,-2.84,-3.23,"Basic Materials"
JSE:SUI,"Sun International Limited (JSE:SUI)",https://www.listcorp.com/jse/sui/sun-international-limited,"	12165500000",46.96,-0.16,-0.34,"Consumer Services"
JSE:NY1,"Ninety One Limited (JSE:NY1)",https://www.listcorp.com/jse/ny1/ninety-one-limited,"	11709000000",44.09,0.46,1.05,Financials
JSE:JSE,"JSE Limited (JSE:JSE)",https://www.listcorp.com/jse/jse/jse-limited,"	11354900000",131.2,-0.29,-0.22,Financials
